int32	string	string	string	lua	int32	string	int32	string	int32	int32	int32	lua	lua	lua	lua	lua	lua	lua	int32	int32	lua	string	int32
both	both	client	client	both	client	client	client	client	client	both	both	client	both	both	both	both	both	both	both	both	client	client	client
nID	szName	szDesc	szTargetDesc	nAchieveType	nTabType	nTabTypeName	nTabSubType	nTabSubTypeName	nSubTypePriority	nLevelLimit	nDayLimit	nClientCondType	nCondParam[0]	nCondParam[1]	nCondParam[2]	nCondParam[3]	nCondParam[4]	nCondParam[5]	nRewardID	nScore	etUseAction	szNavLocation	triggerReview
id	成就名称	成就描述	目标描述	成就类型	大类页签类型	大类页签名字	页签子类型	子类名字	同一子类型内排序	等级限制	创角天数限制	客户端完成条件类型	完成条件参数0	完成条件参数1	完成条件参数2	完成条件参数3	完成条件参数4	完成条件参数5	奖励ID	成就分数	打开界面	导航路径	触发好评引导
1	真才实学		在藏书阁中累计答对{1}题	achtNormal	1	红仙试炼	101		1				20					31001	1				
2	真才实学		在藏书阁中累计答对{1}题	achtNormal	1	红仙试炼	101		2				100					31002	5				
3	真才实学		在藏书阁中累计答对{1}题	achtNormal	1	红仙试炼	101		3				200					31003	10				
4	真才实学		在藏书阁中累计答对{1}题	achtNormal	1	红仙试炼	101		4				500					31004	50				
5	真才实学		在藏书阁中累计答对{1}题	achtNormal	1	红仙试炼	101		5				1000					31005	100				
6	急公好义		完成客栈委托{1}次	achtNormal	1	红仙试炼	102		1				50					31006	1				
7	急公好义		完成客栈委托{1}次	achtNormal	1	红仙试炼	102		2				150					31007	5				
8	急公好义		完成客栈委托{1}次	achtNormal	1	红仙试炼	102		3				300					31008	10				
9	急公好义		完成客栈委托{1}次	achtNormal	1	红仙试炼	102		4				600					31009	50				
10	急公好义		完成客栈委托{1}次	achtNormal	1	红仙试炼	102		5				1000					31010	100				
11	两界的救星		在一气惩恶令中，解救{1}个被黑狐附身的角色	achtNormal	1	红仙试炼	103		1				20					31011	1				
12	两界的救星		在一气惩恶令中，解救{1}个被黑狐附身的角色	achtNormal	1	红仙试炼	103		2				100					31012	5				
13	两界的救星		在一气惩恶令中，解救{1}个被黑狐附身的角色	achtNormal	1	红仙试炼	103		3				200					31013	10				
14	两界的救星		在一气惩恶令中，解救{1}个被黑狐附身的角色	achtNormal	1	红仙试炼	103		4				500					31014	50				
15	两界的救星		在一气惩恶令中，解救{1}个被黑狐附身的角色	achtNormal	1	红仙试炼	103		5				1000					31015	100				
